x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40
0,0,192,2923,27314,159477,617610,1409717,2180043,2346319,2056188,2064737,2650776,3395140,3459874,2898359,2384221,2298649,2469230,2387096,1944396,1555043,1318629,1290130,1301077,1226674,947129,622830,315731,125172,40732,6857,3089,904,0,0,0,0,0,0
0,0,71,3241,25710,159830,597106,1357983,2110928,2289761,2027408,1988766,2623159,3407916,3392485,2905722,2401817,2395775,2531449,2485979,1992293,1580182,1392393,1352136,1365237,1255699,1020587,646150,355478,143356,40788,14118,1764,0,0,0,0,0,0,0
0,0,72,2898,23825,155597,572608,1336213,2073976,2252154,1977681,1954028,2614280,3332778,3434004,2911076,2402399,2401721,2594592,2473664,2064330,1597178,1372279,1449702,1429394,1340358,1091975,744809,362054,144041,41621,9430,2655,0,0,0,0,0,0,0
0,0,136,2156,26968,146757,552978,1291085,1993359,2172070,1925642,1953731,2613539,3345633,3396757,2870971,2406245,2402471,2679023,2554716,2155232,1647199,1450312,1462507,1534638,1396731,1160160,771158,380337,163103,49563,12414,4398,448,0,0,0,0,0,0
0,0,200,1812,24580,145405,537345,1266674,1933992,2132458,1850333,1936582,2601360,3330916,3445954,2837917,2422575,2412265,2635893,2572188,2159839,1698898,1531134,1536112,1564106,1510227,1279245,810673,405235,181306,61638,14571,3076,0,0,0,0,0,0,0
0,0,281,2290,20903,144487,524726,1223343,1907123,2057241,1837914,1870299,2544940,3335522,3359213,2872599,2451680,2463634,2685148,2622994,2215670,1769060,1581851,1573430,1665273,1576998,1312208,829831,442141,192601,56591,16677,3992,453,0,0,0,0,0,0
0,0,73,2136,22286,137625,505494,1189466,1828270,2007289,1764756,1888484,2496639,3292569,3380344,2849968,2486617,2522223,2760812,2688176,2222029,1759928,1621402,1682094,1749504,1615204,1380888,865721,494904,197665,65293,15417,3532,904,0,0,0,0,0,0
0,0,0,1979,21578,134667,487001,1152852,1799995,1943194,1711281,1839556,2520213,3244501,3413581,2849999,2464915,2518384,2779378,2732900,2281930,1832415,1632330,1764681,1811958,1746077,1386688,947552,486171,213461,65716,14118,5732,450,463,0,0,0,0,0
0,0,0,1914,23972,134504,481459,1112536,1752212,1891076,1742943,1827079,2480816,3251740,3332761,2836267,2454731,2528841,2771030,2760275,2313371,1878310,1723393,1775800,1855224,1806803,1477497,1021857,525992,209816,78199,11130,4855,451,0,0,0,0,0,0
0,0,135,2199,21207,127723,473784,1097432,1705137,1818466,1645477,1783207,2512427,3175222,3305255,2862715,2447949,2619011,2827955,2799837,2359132,1889537,1752930,1817170,1937660,1887237,1565565,1080513,570344,228865,74793,14565,3077,0,0,0,0,0,0,0
0,0,72,2946,21467,122361,456721,1058500,1625634,1803256,1650185,1776166,2460177,3135127,3275067,2825622,2479290,2629369,2900068,2802291,2378643,1923954,1814275,1847567,2057877,1948375,1650800,1125695,594585,235744,85272,18422,4410,459,0,0,0,0,0,0
0,0,207,1724,20059,116720,441671,1042768,1592397,1760997,1619735,1712620,2426041,3203671,3233962,2756948,2450540,2606710,2897804,2883247,2421688,1982006,1844833,1954324,2113936,2072451,1722767,1143486,624180,255604,82792,18854,3518,451,465,0,0,0,0,0
0,0,72,1250,17814,118545,421780,1012720,1546196,1690728,1573146,1706668,2390874,3114197,3230153,2788398,2459792,2590344,2959612,2901593,2463312,2018346,1909024,2024816,2186573,2163960,1829224,1216731,639752,276470,85209,22717,4398,0,0,0,0,0,0,0
0,0,69,2390,21879,113506,408892,982782,1553191,1647320,1528633,1666254,2332998,3107518,3190257,2794862,2433087,2619002,3028695,2888275,2467526,2101559,1921514,2051503,2282746,2192535,1901896,1298792,671019,279680,106488,16274,3095,0,0,0,0,0,0,0
0,0,0,1331,17435,111717,413313,929360,1456666,1643384,1480369,1671680,2366392,3081620,3195909,2775603,2445343,2658448,2975258,2921926,2468251,2074269,2008463,2145782,2306955,2268655,1961722,1392532,690543,316886,100801,23121,7051,912,0,0,0,0,0,0
0,0,70,1739,17368,108114,383268,919474,1436478,1586647,1459188,1628667,2291327,3033723,3138301,2746743,2490498,2627092,3011709,2981373,2569158,2125357,2009633,2229821,2392798,2388882,2068998,1408773,750209,318417,100522,20087,4405,907,0,0,0,0,0,0
0,0,69,1832,18382,99949,375321,893876,1389260,1525027,1416790,1585412,2301602,3007294,3114476,2706193,2437281,2670344,3062486,2991005,2554275,2146607,2058271,2317958,2539521,2509925,2152525,1454162,778538,354499,93551,29126,2202,2260,0,0,0,0,0,0
0,0,0,1555,18541,103346,373096,884758,1353223,1490286,1368130,1534975,2283064,2947232,3082824,2710471,2467826,2684055,3070781,2967067,2588200,2196163,2164546,2322968,2547496,2590969,2247175,1550438,831624,343140,105242,26966,3530,905,0,0,0,0,0,0
0,0,144,1497,18106,98602,377066,856672,1311957,1457190,1381054,1528257,2193841,2960911,3048444,2670054,2426651,2659415,3069547,3024637,2615090,2233587,2157847,2376898,2661630,2692610,2309566,1617441,859196,380953,104281,23545,4394,451,465,0,0,0,0,0
0,0,0,2332,17256,91629,366306,834333,1266037,1408582,1308496,1541156,2161474,2919727,3024758,2632451,2431592,2737396,3050521,3117770,2626496,2189536,2278574,2461512,2681778,2786395,2389851,1681228,898475,367158,123873,37242,6148,1351,0,0,0,0,0,0
0,0,0,1415,16313,95043,340008,795876,1267032,1394064,1297056,1500171,2152657,2900668,2958264,2601875,2383265,2750566,3070450,3102698,2694217,2278204,2224025,2580023,2758906,2867759,2477869,1692351,934958,395894,128406,30461,5284,0,0,0,0,0,0,0
0,59,0,1658,15728,88148,341516,784268,1214385,1320173,1257132,1436626,2140570,2828596,2945915,2588549,2440202,2725370,3146746,3135267,2675246,2316272,2249474,2570413,2892192,2901875,2615333,1875318,973294,401777,130191,27813,6592,1806,0,0,0,0,0,0
0,0,0,578,15097,83525,326926,745548,1168571,1306325,1212705,1444918,2130376,2822395,2941817,2600066,2420764,2687210,3118617,3139618,2694111,2332480,2364753,2646775,2938233,2997386,2717783,1882847,1003676,413287,119911,30431,6604,456,0,0,0,0,0,0
0,0,70,1231,13265,85079,320182,740451,1152507,1268923,1194916,1426615,2080661,2763700,2891356,2542128,2430588,2668728,3156976,3130127,2707845,2361591,2314833,2702925,3026799,3179518,2799542,1956894,1049953,433380,150989,33409,8389,449,0,0,0,0,0,0
0,0,143,1573,15074,87708,303376,707127,1144834,1221780,1180305,1397466,2058547,2746367,2846668,2517503,2374034,2739465,3128294,3185734,2714021,2407449,2398835,2717169,3103281,3273594,2867478,1992092,1065456,448060,145588,38122,5259,912,0,0,0,0,0,0
