time,Ptimeseries
108.0,5.916e6
109.0,6.12e6
110.0,6.326e6
111.0,6.506e6
112.0,6.811e6
113.0,7.135e6
114.0,7.428e6
115.0,7.473e6
116.0,7.589e6
117.0,7.779e6
118.0,8.004e6
119.0,8.479e6
120.0,9.222e6
121.0,9.823e6
122.0,1.0487e7
123.0,1.151e7
124.0,1.2555e7
125.0,1.4011e7
126.0,1.482e7
127.0,1.6547e7
128.0,1.7758e7
129.0,1.8921e7
130.0,2.0214e7
131.0,2.115e7
132.0,2.2469e7
133.0,2.3534e7
134.0,2.5315e7
135.0,2.6892e7
136.0,2.7275e7
137.0,2.8751e7
138.0,2.9083e7
139.0,3.0643e7
140.0,3.1282e7
141.0,3.26e7
142.0,3.3845e7
143.0,3.5189e7
144.0,3.6435e7
145.0,3.7284e7
146.0,3.9013e7
147.0,4.0889e7
148.0,4.2326e7
149.0,4.442e7
150.0,4.6094e7
151.0,4.9067e7
152.0,5.1633e7
153.0,5.4111e7
154.0,5.7093e7
155.0,5.9679e7
156.0,6.3476e7
157.0,6.6017e7
158.0,6.8982e7
159.0,7.208e7
160.0,7.3922e7
161.0,7.5844e7
162.0,7.8872e7
163.0,8.1152e7
164.0,8.3388e7
165.0,8.5779e7
166.0,8.8795e7
167.0,8.9567e7
168.0,9.1005e7
169.0,9.1943e7
170.0,9.384e7
171.0,9.5753e7
172.0,9.8303e7
173.0,9.9302e7
174.0,1.01158e8
175.0,1.01546e8
176.0,1.01007e8
177.0,1.00885e8
178.0,1.02773e8
179.0,1.03733e8
180.0,1.05086e8
181.0,1.05826e8
182.0,1.06521e8
183.0,1.07856e8
184.0,1.08252e8
185.0,1.10023e8
186.0,1.09038e8
187.0,1.09414e8
188.0,1.11342e8
189.0,1.1146e8
190.0,1.1162e8
191.0,1.12849e8
192.0,1.12921e8
193.0,1.13278e8
194.0,1.13794e8
195.0,1.13256e8
196.0,1.1436e8
197.0,1.14118e8
198.0,1.13428e8
199.0,1.14732e8
200.0,1.14285e8
201.0,1.14183e8
202.0,1.14147e8
203.0,1.13519e8
204.0,1.13493e8
205.0,1.13791e8
206.0,1.13168e8
207.0,1.11752e8
208.0,1.13096e8
209.0,1.14678e8
210.0,1.15718e8
211.0,1.1782e8
212.0,1.19008e8
213.0,1.18771e8
214.0,1.17875e8
215.0,1.17723e8
216.0,1.16252e8
217.0,1.151e8
218.0,1.16247e8
219.0,1.15964e8
220.0,1.17146e8
221.0,1.18784e8
222.0,1.19031e8
223.0,1.19729e8
224.0,1.18305e8
225.0,1.18474e8
226.0,1.20183e8
227.0,1.20168e8
228.0,1.21749e8
229.0,1.21785e8
230.0,1.20407e8
231.0,1.20733e8
232.0,1.21693e8
233.0,1.2094e8
234.0,1.20246e8
235.0,1.1812e8
236.0,1.16953e8
237.0,1.17353e8
238.0,1.185e8
239.0,1.20372e8
240.0,1.19509e8
241.0,1.21019e8
242.0,1.20826e8
243.0,1.20314e8
244.0,1.21413e8
245.0,1.23294e8
246.0,1.24754e8
247.0,1.25033e8
248.0,1.2896e8
249.0,1.26628e8
250.0,1.25678e8
251.0,1.24371e8
252.0,1.23235e8
253.0,1.22895e8
254.0,1.23552e8
255.0,1.2373e8
256.0,1.23584e8
257.0,1.23056e8
258.0,1.24517e8
259.0,1.24604e8
260.0,1.25235e8
261.0,1.24062e8
262.0,1.24541e8
263.0,1.2559e8
264.0,1.24326e8
265.0,1.23738e8
266.0,1.25505e8
267.0,1.26109e8
268.0,1.26016e8
269.0,1.27131e8
270.0,1.26469e8
271.0,1.25383e8
272.0,1.25188e8
273.0,1.24596e8
274.0,1.23846e8
275.0,1.24193e8
276.0,1.24641e8
277.0,1.26562e8
278.0,1.28211e8
279.0,1.30073e8
280.0,1.28404e8
281.0,1.29568e8
282.0,1.28644e8
283.0,1.26745e8
284.0,1.25132e8
285.0,1.25133e8
286.0,1.25748e8
287.0,1.26841e8
288.0,1.26719e8
289.0,1.2591e8
290.0,1.27011e8
291.0,1.27192e8
292.0,1.28563e8
293.0,1.27312e8
294.0,1.26229e8
295.0,1.27314e8
296.0,1.27999e8
297.0,1.29761e8
298.0,1.29147e8
299.0,1.30532e8
300.0,1.30817e8
301.0,1.30437e8
302.0,1.31219e8
303.0,1.32298e8
304.0,1.31071e8
305.0,1.29683e8
306.0,1.32296e8
307.0,1.32129e8
308.0,1.33123e8
309.0,1.33834e8
310.0,1.3577e8
311.0,1.32577e8
312.0,1.33553e8
313.0,1.31386e8
314.0,1.2892e8
315.0,1.30519e8
316.0,1.30825e8
317.0,1.28284e8
318.0,1.29682e8
319.0,1.30829e8
320.0,1.28481e8
321.0,1.28548e8
322.0,1.30824e8
323.0,1.30809e8
324.0,1.33773e8
325.0,1.34775e8
326.0,1.34926e8
327.0,1.31482e8
328.0,1.32039e8
329.0,1.31831e8
330.0,1.29062e8
331.0,1.29792e8
332.0,1.28844e8
333.0,1.3315e8
334.0,1.31408e8
335.0,1.33995e8
336.0,1.34143e8
337.0,1.36652e8
338.0,1.3445e8
339.0,1.36245e8
340.0,1.35619e8
341.0,1.38287e8
342.0,1.36363e8
343.0,1.35235e8
344.0,1.35498e8
345.0,1.36446e8
346.0,1.38235e8
347.0,1.38248e8
348.0,1.34296e8
349.0,1.36372e8
350.0,1.35144e8
351.0,1.32684e8
352.0,1.33972e8
353.0,1.3322e8
354.0,1.35398e8
355.0,1.36042e8
356.0,1.31997e8
357.0,1.35978e8
358.0,1.36026e8
359.0,1.35058e8
360.0,1.37023e8
361.0,1.35164e8
362.0,1.33851e8
363.0,1.30445e8
364.0,1.26907e8
365.0,1.3177e8
366.0,1.35773e8
367.0,1.345e8
368.0,1.3611e8
369.0,1.32271e8
370.0,1.33016e8
371.0,1.31471e8
372.0,1.31089e8
373.0,1.33138e8
374.0,1.36275e8
375.0,1.35856e8
376.0,1.37074e8
377.0,1.40477e8
378.0,1.40286e8
379.0,1.40424e8
380.0,1.44157e8
381.0,1.43297e8
382.0,1.39822e8
383.0,1.39806e8
384.0,1.38513e8
385.0,1.39896e8
386.0,1.40214e8
387.0,1.41847e8
388.0,1.39792e8
389.0,1.39048e8
390.0,1.40659e8
391.0,1.40438e8
392.0,1.43418e8
393.0,1.43188e8
394.0,1.39069e8
395.0,1.36032e8
396.0,1.33152e8
397.0,1.30982e8
398.0,1.29821e8
399.0,1.29654e8
400.0,1.31629e8
401.0,1.33523e8
402.0,1.34512e8
403.0,1.32528e8
404.0,1.33166e8
405.0,1.37706e8
406.0,1.39051e8
407.0,1.36654e8
408.0,1.3799e8
409.0,1.38824e8
410.0,1.39825e8
411.0,1.44625e8
412.0,1.43965e8
413.0,1.46524e8
414.0,1.48088e8
415.0,1.50033e8
416.0,1.48774e8
417.0,1.48578e8
418.0,1.48385e8
419.0,1.42626e8
420.0,1.40429e8
421.0,1.39522e8
422.0,1.40803e8
423.0,1.41411e8
424.0,1.41527e8
425.0,1.41134e8
426.0,1.42088e8
427.0,1.40413e8
428.0,1.39199e8
429.0,1.41059e8
430.0,1.42193e8
431.0,1.40697e8
432.0,1.42784e8
433.0,1.41153e8
434.0,1.40332e8
435.0,1.41759e8
436.0,1.44436e8
437.0,1.47523e8
438.0,1.45473e8
439.0,1.46901e8
440.0,1.50971e8
441.0,1.53656e8
442.0,1.55437e8
443.0,1.60829e8
444.0,1.61206e8
445.0,1.6497e8
446.0,1.7003e8
447.0,1.72727e8
448.0,1.7767e8
449.0,1.81412e8
450.0,1.86965e8
451.0,1.8723e8
452.0,1.96195e8
453.0,2.06167e8
454.0,2.27253e8
455.0,2.4824e8
456.0,2.81035e8
457.0,3.17283e8
458.0,3.73969e8
459.0,4.60635e8
460.0,6.12262e8
461.0,8.99716e8
462.0,1.591932e9
463.0,4.10516e9
464.0,1.4161036e10
465.0,1.5742873e10
466.0,1.5743074e10
467.0,1.5743074e10
468.0,1.5743074e10
469.0,1.5743074e10
470.0,1.5743074e10
471.0,1.5743074e10
472.0,1.5743074e10
473.0,1.5743074e10
474.0,1.5743074e10
475.0,1.5743074e10
476.0,1.5743074e10
477.0,1.5743074e10
478.0,1.5743074e10
479.0,1.5743074e10
480.0,1.5743074e10
481.0,1.5743074e10
482.0,1.5743074e10
483.0,1.5743074e10
484.0,1.5743074e10
485.0,1.5743074e10
486.0,1.5743074e10
487.0,1.5743074e10
488.0,1.5743074e10
489.0,1.5743074e10
490.0,1.5743074e10
491.0,1.5743074e10
492.0,1.5743074e10
493.0,1.5743074e10
494.0,1.5743074e10
495.0,1.5743074e10
496.0,1.5743074e10
497.0,1.5743074e10
498.0,1.5743074e10
499.0,1.5743074e10
500.0,1.5743074e10
501.0,1.5743074e10
502.0,1.5743074e10
503.0,1.5743074e10
504.0,1.5743074e10
505.0,1.5743074e10
506.0,1.5743074e10
507.0,1.5743074e10
508.0,1.5743074e10
509.0,1.5743074e10
510.0,1.5743074e10
511.0,1.5743074e10
512.0,1.5743074e10
513.0,1.5743074e10
514.0,1.5743074e10
515.0,1.5743074e10
516.0,1.5743074e10
517.0,1.5743074e10
518.0,1.5743074e10
519.0,1.5743074e10
520.0,1.5743074e10
521.0,1.5743074e10
522.0,1.5743074e10
523.0,1.5743074e10
524.0,1.5743074e10
525.0,1.5743074e10
526.0,1.5743074e10
527.0,1.5743074e10
528.0,1.5743074e10
529.0,1.5743074e10
530.0,1.5743074e10
531.0,1.5743074e10
532.0,1.5743074e10
533.0,1.5743074e10
534.0,1.5743074e10
535.0,1.5743074e10
536.0,1.5743074e10
537.0,1.5743074e10
538.0,1.5743074e10
539.0,1.5743074e10
540.0,1.5743074e10
541.0,1.5743074e10
542.0,1.5743074e10
543.0,1.5743074e10
544.0,1.5743074e10
545.0,1.5743074e10
546.0,1.5743074e10
547.0,1.5743074e10
548.0,1.5743074e10
549.0,1.5743074e10
550.0,1.5743074e10
551.0,1.5743074e10
552.0,1.5743074e10
553.0,1.5743074e10
554.0,1.5743074e10
555.0,1.5743074e10
556.0,1.5743074e10
557.0,1.5743074e10
558.0,1.5743074e10
559.0,1.5743074e10
560.0,1.5743074e10
561.0,1.5743074e10
562.0,1.5743074e10
563.0,1.5743074e10
564.0,1.5743074e10
565.0,1.5743074e10
566.0,1.5743074e10
567.0,1.5743074e10
568.0,1.5743074e10
569.0,1.5743074e10
570.0,1.5743074e10
571.0,1.5743074e10
572.0,1.5743074e10
573.0,1.5743074e10
574.0,1.5743074e10
575.0,1.5743074e10
576.0,1.5743074e10
577.0,1.5743074e10
578.0,1.5743074e10
579.0,1.5743074e10
580.0,1.5743074e10
581.0,1.5743074e10
582.0,1.5743074e10
583.0,1.5743074e10
584.0,1.5743074e10
585.0,1.5743074e10
586.0,1.5743074e10
587.0,1.5743074e10
588.0,1.5743074e10
589.0,1.5743074e10
590.0,1.5743074e10
591.0,1.5743074e10
592.0,1.5743074e10
593.0,1.5743074e10
594.0,1.5743074e10
595.0,1.5743074e10
596.0,1.5743074e10
597.0,1.5743074e10
598.0,1.5743074e10
599.0,1.5743074e10
600.0,1.5743074e10
