time,Btimeseries
221.0,1.12061e8
222.0,1.11504e8
223.0,1.10953e8
224.0,1.10446e8
225.0,1.09931e8
226.0,1.09397e8
227.0,1.089e8
228.0,1.08377e8
229.0,1.07887e8
230.0,1.07435e8
231.0,1.06972e8
232.0,1.06506e8
233.0,1.06072e8
234.0,1.05637e8
235.0,1.05244e8
236.0,1.0485e8
237.0,1.0444e8
238.0,1.04018e8
239.0,1.03588e8
240.0,1.03217e8
241.0,1.02805e8
242.0,1.02429e8
243.0,1.02059e8
244.0,1.01673e8
245.0,1.01277e8
246.0,1.00886e8
247.0,1.00517e8
248.0,1.00101e8
249.0,9.977e7
250.0,9.9431e7
251.0,9.9104e7
252.0,9.8782e7
253.0,9.8451e7
254.0,9.8122e7
255.0,9.7802e7
256.0,9.7492e7
257.0,9.7186e7
258.0,9.686e7
259.0,9.6557e7
260.0,9.6247e7
261.0,9.5966e7
262.0,9.5667e7
263.0,9.5366e7
264.0,9.5089e7
265.0,9.4817e7
266.0,9.4522e7
267.0,9.4234e7
268.0,9.396e7
269.0,9.3677e7
270.0,9.3409e7
271.0,9.3155e7
272.0,9.2896e7
273.0,9.2645e7
274.0,9.2401e7
275.0,9.2151e7
276.0,9.1904e7
277.0,9.1639e7
278.0,9.1378e7
279.0,9.1114e7
280.0,9.0886e7
281.0,9.0635e7
282.0,9.0406e7
283.0,9.0192e7
284.0,8.998e7
285.0,8.9757e7
286.0,8.9529e7
287.0,8.9298e7
288.0,8.9079e7
289.0,8.8868e7
290.0,8.8645e7
291.0,8.843e7
292.0,8.8206e7
293.0,8.8008e7
294.0,8.7813e7
295.0,8.76e7
296.0,8.739e7
297.0,8.7169e7
298.0,8.6973e7
299.0,8.676e7
300.0,8.6557e7
301.0,8.6359e7
302.0,8.6159e7
303.0,8.5952e7
304.0,8.5766e7
305.0,8.5587e7
306.0,8.5376e7
307.0,8.5189e7
308.0,8.4992e7
309.0,8.48e7
310.0,8.4595e7
311.0,8.4433e7
312.0,8.4243e7
313.0,8.4076e7
314.0,8.392e7
315.0,8.3735e7
316.0,8.356e7
317.0,8.3409e7
318.0,8.3233e7
319.0,8.3057e7
320.0,8.291e7
321.0,8.2747e7
322.0,8.2567e7
323.0,8.2402e7
324.0,8.2218e7
325.0,8.2045e7
326.0,8.188e7
327.0,8.1744e7
328.0,8.1582e7
329.0,8.1423e7
330.0,8.1287e7
331.0,8.113e7
332.0,8.0987e7
333.0,8.0806e7
334.0,8.0666e7
335.0,8.0496e7
336.0,8.0344e7
337.0,8.0178e7
338.0,8.0043e7
339.0,7.9884e7
340.0,7.9741e7
341.0,7.9574e7
342.0,7.944e7
343.0,7.9303e7
344.0,7.9157e7
345.0,7.9008e7
346.0,7.8855e7
347.0,7.8713e7
348.0,7.8599e7
349.0,7.8447e7
350.0,7.8317e7
351.0,7.8199e7
352.0,7.8057e7
353.0,7.7929e7
354.0,7.7784e7
355.0,7.7646e7
356.0,7.7541e7
357.0,7.7388e7
358.0,7.7258e7
359.0,7.7135e7
360.0,7.6994e7
361.0,7.688e7
362.0,7.6762e7
363.0,7.666e7
364.0,7.6562e7
365.0,7.6414e7
366.0,7.6271e7
367.0,7.6156e7
368.0,7.6025e7
369.0,7.5928e7
370.0,7.5807e7
371.0,7.5702e7
372.0,7.5591e7
373.0,7.5464e7
374.0,7.5331e7
375.0,7.5215e7
376.0,7.5091e7
377.0,7.4953e7
378.0,7.4837e7
379.0,7.4719e7
380.0,7.4581e7
381.0,7.4468e7
382.0,7.4371e7
383.0,7.4257e7
384.0,7.4153e7
385.0,7.4035e7
386.0,7.3919e7
387.0,7.3797e7
388.0,7.3696e7
389.0,7.3591e7
390.0,7.3475e7
391.0,7.3366e7
392.0,7.3242e7
393.0,7.3135e7
394.0,7.305e7
395.0,7.2961e7
396.0,7.2874e7
397.0,7.2786e7
398.0,7.2694e7
399.0,7.2597e7
400.0,7.2489e7
401.0,7.2383e7
402.0,7.228e7
403.0,7.2194e7
404.0,7.2095e7
405.0,7.1975e7
406.0,7.1869e7
407.0,7.1782e7
408.0,7.1678e7
409.0,7.1576e7
410.0,7.1473e7
411.0,7.1353e7
412.0,7.1256e7
413.0,7.1144e7
414.0,7.1037e7
415.0,7.0929e7
416.0,7.0834e7
417.0,7.0734e7
418.0,7.0637e7
419.0,7.0567e7
420.0,7.0484e7
421.0,7.0396e7
422.0,7.0298e7
423.0,7.0204e7
424.0,7.0113e7
425.0,7.0024e7
426.0,6.9929e7
427.0,6.9845e7
428.0,6.9762e7
429.0,6.9665e7
430.0,6.957e7
431.0,6.9487e7
432.0,6.9389e7
433.0,6.9308e7
434.0,6.9225e7
435.0,6.9134e7
436.0,6.9037e7
437.0,6.8935e7
438.0,6.8856e7
439.0,6.8762e7
440.0,6.8656e7
441.0,6.8555e7
442.0,6.8454e7
443.0,6.834e7
444.0,6.8245e7
445.0,6.8134e7
446.0,6.8017e7
447.0,6.7909e7
448.0,6.779e7
449.0,6.7674e7
450.0,6.7547e7
451.0,6.7442e7
452.0,6.7299e7
453.0,6.715e7
454.0,6.6947e7
455.0,6.6735e7
456.0,6.6462e7
457.0,6.6157e7
458.0,6.5753e7
459.0,6.5193e7
460.0,6.4317e7
461.0,6.2801e7
462.0,5.9478e7
463.0,4.8416e7
464.0,6.535e6
465.0,1000.0
